Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
528,MEVAM MISSÕES EVANGELÍSTICAS MINISTÉRIO CAXIAS DO SUL - RS,publicado,64,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.079,Igreja Evangélica Jesus para as Nações Alphaville,publicado,64,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.906,COMUNIDADE CRISTÃ IDE,publicado,64,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.179,A Morada,bloqueado,64,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.188,Lagoinha Ilhabela,publicado,63,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.385,IIMW Em São Braz,publicado,63,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.504,Lagoinha João Pinheiro- Matriz,publicado,61,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.748,Igreja do Evangelho Quadrangular Sede Piracicaba,publicado,61,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.943,IBEC PLANALTO,publicado,61,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.362,Igreja Casa Forte Erechim,publicado,61,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
328,Igreja Batista Sião de Maringá,publicado,58,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.288,Lagoinha Salvador - Cajazeiras,publicado,58,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.237,IGREJA CARTAS VIVAS,publicado,58,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
214,New Life Brazilian Christian Church,publicado,56,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
